_time,_value,_measurement,sensor_name
2023-11-08 12:00:02.165151+01:00,0.0,PC,cpu0
2023-11-08 12:00:08.167074+01:00,0.0,PC,cpu0
2023-11-08 12:00:14.168752+01:00,0.0,PC,cpu0
2023-11-08 12:00:20.170044+01:00,0.0,PC,cpu0
2023-11-08 12:00:26.172495+01:00,0.0,PC,cpu0
2023-11-08 12:00:32.172040+01:00,1.6,PC,cpu0
2023-11-08 12:00:38.173916+01:00,0.0,PC,cpu0
2023-11-08 12:00:44.175161+01:00,0.0,PC,cpu0
2023-11-08 12:00:50.182351+01:00,0.0,PC,cpu0
2023-11-08 12:00:56.183586+01:00,0.0,PC,cpu0
2023-11-08 12:01:02.182088+01:00,0.0,PC,cpu0
2023-11-08 12:01:08.183316+01:00,0.0,PC,cpu0
2023-11-08 12:01:14.183763+01:00,0.0,PC,cpu0
2023-11-08 12:01:20.184782+01:00,3.1,PC,cpu0
2023-11-08 12:01:26.186128+01:00,1.6,PC,cpu0
2023-11-08 12:01:32.214612+01:00,0.0,PC,cpu0
2023-11-08 12:01:38.212267+01:00,3.1,PC,cpu0
2023-11-08 12:01:44.213445+01:00,0.0,PC,cpu0
2023-11-08 12:01:50.215616+01:00,0.0,PC,cpu0
2023-11-08 12:01:56.217139+01:00,0.0,PC,cpu0
2023-11-08 12:02:02.221438+01:00,0.0,PC,cpu0
2023-11-08 12:02:08.224123+01:00,0.0,PC,cpu0
2023-11-08 12:02:14.232136+01:00,0.0,PC,cpu0
2023-11-08 12:02:20.237189+01:00,0.0,PC,cpu0
2023-11-08 12:02:26.233116+01:00,1.5,PC,cpu0
2023-11-08 12:02:32.235897+01:00,0.0,PC,cpu0
2023-11-08 12:02:38.245164+01:00,0.0,PC,cpu0
2023-11-08 12:02:44.239358+01:00,1.6,PC,cpu0
2023-11-08 12:02:50.245866+01:00,4.7,PC,cpu0
2023-11-08 12:02:56.246547+01:00,1.6,PC,cpu0
2023-11-08 12:03:02.250499+01:00,0.0,PC,cpu0
2023-11-08 12:03:08.256443+01:00,0.0,PC,cpu0
2023-11-08 12:03:14.259113+01:00,0.0,PC,cpu0
2023-11-08 12:03:20.260522+01:00,4.6,PC,cpu0
2023-11-08 12:03:26.261758+01:00,4.6,PC,cpu0
2023-11-08 12:03:32.261396+01:00,0.0,PC,cpu0
2023-11-08 12:03:38.261821+01:00,0.0,PC,cpu0
2023-11-08 12:03:44.263101+01:00,1.6,PC,cpu0
2023-11-08 12:03:50.264777+01:00,3.0,PC,cpu0
2023-11-08 12:03:56.265596+01:00,0.0,PC,cpu0
2023-11-08 12:04:02.272196+01:00,0.0,PC,cpu0
2023-11-08 12:04:08.270195+01:00,0.0,PC,cpu0
2023-11-08 12:04:14.275148+01:00,1.6,PC,cpu0
2023-11-08 12:04:20.276301+01:00,3.1,PC,cpu0
2023-11-08 12:04:26.277612+01:00,0.0,PC,cpu0
2023-11-08 12:04:32.286671+01:00,0.0,PC,cpu0
2023-11-08 12:04:38.289319+01:00,0.0,PC,cpu0
2023-11-08 12:04:44.288379+01:00,0.0,PC,cpu0
2023-11-08 12:04:50.290008+01:00,1.6,PC,cpu0
2023-11-08 12:04:56.294661+01:00,1.6,PC,cpu0
2023-11-08 12:05:02.302526+01:00,0.0,PC,cpu0
2023-11-08 12:05:08.303111+01:00,0.0,PC,cpu0
2023-11-08 12:05:14.308776+01:00,0.0,PC,cpu0
2023-11-08 12:05:20.305505+01:00,0.0,PC,cpu0
2023-11-08 12:05:26.311374+01:00,0.0,PC,cpu0
2023-11-08 12:05:32.311734+01:00,0.0,PC,cpu0
2023-11-08 12:05:38.316692+01:00,4.7,PC,cpu0
2023-11-08 12:05:44.318114+01:00,1.6,PC,cpu0
2023-11-08 12:05:50.321542+01:00,9.4,PC,cpu0
2023-11-08 12:05:56.323003+01:00,0.0,PC,cpu0
2023-11-08 12:06:02.330061+01:00,0.0,PC,cpu0
2023-11-08 12:06:08.331419+01:00,0.0,PC,cpu0
2023-11-08 12:06:14.385163+01:00,0.0,PC,cpu0
2023-11-08 12:06:20.333750+01:00,0.0,PC,cpu0
2023-11-08 12:06:26.334487+01:00,0.0,PC,cpu0
2023-11-08 12:06:32.395289+01:00,0.0,PC,cpu0
2023-11-08 12:06:38.336896+01:00,0.0,PC,cpu0
2023-11-08 12:06:44.338308+01:00,0.0,PC,cpu0
2023-11-08 12:06:50.385034+01:00,0.0,PC,cpu0
2023-11-08 12:06:56.340192+01:00,0.0,PC,cpu0
2023-11-08 12:07:02.344039+01:00,0.0,PC,cpu0
2023-11-08 12:07:08.343991+01:00,0.0,PC,cpu0
2023-11-08 12:07:14.346625+01:00,1.6,PC,cpu0
2023-11-08 12:07:20.346105+01:00,0.0,PC,cpu0
2023-11-08 12:07:26.350973+01:00,0.0,PC,cpu0
2023-11-08 12:07:32.349294+01:00,0.0,PC,cpu0
2023-11-08 12:07:38.350294+01:00,0.0,PC,cpu0
2023-11-08 12:07:44.351407+01:00,4.7,PC,cpu0
2023-11-08 12:07:50.355726+01:00,0.0,PC,cpu0
2023-11-08 12:07:56.355643+01:00,1.6,PC,cpu0
2023-11-08 12:08:02.358335+01:00,0.0,PC,cpu0
2023-11-08 12:08:08.358681+01:00,0.0,PC,cpu0
2023-11-08 12:08:14.359423+01:00,0.0,PC,cpu0
2023-11-08 12:08:20.362675+01:00,0.0,PC,cpu0
2023-11-08 12:08:26.362785+01:00,0.0,PC,cpu0
2023-11-08 12:08:32.364104+01:00,0.0,PC,cpu0
2023-11-08 12:08:38.365456+01:00,0.0,PC,cpu0
2023-11-08 12:08:44.367369+01:00,0.0,PC,cpu0
2023-11-08 12:08:50.368619+01:00,0.0,PC,cpu0
2023-11-08 12:08:56.369402+01:00,3.1,PC,cpu0
2023-11-08 12:09:02.370713+01:00,0.0,PC,cpu0
2023-11-08 12:09:08.371827+01:00,0.0,PC,cpu0
2023-11-08 12:09:14.372769+01:00,0.0,PC,cpu0
2023-11-08 12:09:20.373953+01:00,0.0,PC,cpu0
2023-11-08 12:09:26.375026+01:00,0.0,PC,cpu0
2023-11-08 12:09:32.376450+01:00,0.0,PC,cpu0
2023-11-08 12:09:38.379630+01:00,0.0,PC,cpu0
2023-11-08 12:09:44.379135+01:00,0.0,PC,cpu0
2023-11-08 12:09:50.380057+01:00,0.0,PC,cpu0
2023-11-08 12:09:56.381338+01:00,0.0,PC,cpu0
2023-11-08 12:10:02.382938+01:00,0.0,PC,cpu0
2023-11-08 12:10:08.384147+01:00,0.0,PC,cpu0
2023-11-08 12:10:14.385172+01:00,0.0,PC,cpu0
2023-11-08 12:10:20.387629+01:00,0.0,PC,cpu0
2023-11-08 12:10:26.388011+01:00,0.0,PC,cpu0
2023-11-08 12:10:32.388967+01:00,0.0,PC,cpu0
2023-11-08 12:10:38.391322+01:00,0.0,PC,cpu0
2023-11-08 12:10:44.392408+01:00,0.0,PC,cpu0
2023-11-08 12:10:50.394083+01:00,0.0,PC,cpu0
2023-11-08 12:10:56.396493+01:00,0.0,PC,cpu0
2023-11-08 12:11:02.396086+01:00,0.0,PC,cpu0
2023-11-08 12:11:08.397959+01:00,0.0,PC,cpu0
2023-11-08 12:11:14.399694+01:00,0.0,PC,cpu0
2023-11-08 12:11:20.399805+01:00,1.6,PC,cpu0
2023-11-08 12:11:26.401093+01:00,0.0,PC,cpu0
2023-11-08 12:11:32.402369+01:00,0.0,PC,cpu0
2023-11-08 12:11:38.402799+01:00,0.0,PC,cpu0
2023-11-08 12:11:44.404570+01:00,0.0,PC,cpu0
2023-11-08 12:11:50.405725+01:00,0.0,PC,cpu0
2023-11-08 12:11:56.407048+01:00,0.0,PC,cpu0
2023-11-08 12:12:02.408375+01:00,0.0,PC,cpu0
2023-11-08 12:12:08.409567+01:00,0.0,PC,cpu0
2023-11-08 12:12:14.411856+01:00,0.0,PC,cpu0
2023-11-08 12:12:20.411979+01:00,0.0,PC,cpu0
